Variable:,tasmax
Country:,Belgium
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,2.61,1.88,6.95,13.98,18.66,21.31,24.58,22.18,18.90,13.95,7.46,5.65
1902,6.45,3.67,9.94,13.82,13.77,20.87,21.85,20.40,18.05,12.06,7.03,4.02
1903,5.30,8.95,11.75,9.39,18.22,19.84,21.47,20.63,19.47,14.62,8.48,3.58
1904,3.25,5.82,7.88,14.46,18.21,20.71,25.06,22.68,17.27,13.51,7.55,7.22
1905,3.40,6.14,10.21,11.60,17.41,22.58,24.20,21.77,17.37,9.69,7.06,5.47
1906,5.78,4.94,8.27,13.21,17.57,19.59,22.38,22.49,19.54,16.19,10.09,4.03
1907,4.26,3.44,9.49,12.46,18.37,19.19,19.63,21.28,20.04,15.33,9.07,6.62
1908,2.11,6.27,7.49,10.84,18.41,22.19,22.35,20.20,18.69,15.39,7.89,4.21
1909,3.67,3.99,7.01,14.47,17.62,18.54,19.45,21.92,17.89,15.34,6.96,6.61
1910,5.80,7.30,10.30,12.88,17.77,21.44,20.11,21.50,18.12,15.02,6.74,8.41
1911,3.14,6.85,9.73,12.70,19.42,20.63,25.59,26.45,21.06,14.77,8.83,8.54
1912,4.71,8.59,11.40,13.73,18.27,20.81,24.15,18.79,15.17,12.76,7.50,8.72
1913,5.55,7.53,11.51,13.71,18.34,19.86,19.45,21.13,19.09,15.64,11.13,6.57
1914,2.19,9.73,9.92,16.23,16.44,19.93,22.71,23.29,18.81,13.44,8.00,8.49
1915,5.22,6.55,7.92,12.84,18.99,22.87,21.68,21.09,18.90,11.83,6.03,9.01
1916,8.62,6.51,9.23,13.98,19.05,17.72,20.98,21.79,18.30,13.92,9.01,6.07
1917,1.76,2.29,5.94,9.36,21.34,24.40,22.72,21.33,20.65,12.40,9.72,3.27
1918,5.71,7.47,10.16,12.51,20.28,19.22,22.22,22.00,18.26,12.96,7.82,9.18
1919,4.54,4.56,8.25,10.94,19.65,21.02,19.07,22.59,20.46,11.26,5.22,7.28
1920,7.02,9.55,12.49,13.83,19.08,21.41,22.29,19.97,18.45,14.01,6.86,5.54
1921,8.76,6.99,11.98,14.57,19.57,20.99,25.40,23.40,20.31,18.19,4.76,6.45
1922,3.85,5.95,8.73,10.79,20.12,21.09,20.64,20.68,16.77,10.75,7.52,7.40
1923,6.15,6.82,10.78,13.12,15.79,16.46,24.81,22.12,18.84,14.90,6.38,4.53
1924,3.70,3.55,8.29,11.65,19.19,20.53,22.26,19.15,18.58,14.57,8.41,6.82
1925,6.72,8.22,7.14,13.54,19.00,21.02,23.51,21.35,16.23,14.52,6.03,5.45
1926,5.20,9.91,10.08,15.63,15.64,18.86,22.08,22.36,21.06,12.77,10.12,5.24
1927,6.14,6.79,11.29,12.80,17.27,19.07,22.05,21.67,18.33,14.64,6.92,2.60
1928,6.44,8.53,9.61,13.26,16.16,19.88,24.18,22.16,18.87,14.10,10.50,5.31
1929,1.31,0.17,9.45,10.48,18.69,19.58,23.35,22.92,22.63,14.21,9.59,8.91
1930,7.97,5.42,10.01,13.88,16.52,23.53,20.99,22.44,18.45,14.50,10.50,5.77
1931,5.18,4.70,8.19,12.03,19.30,21.69,21.65,20.24,16.20,13.94,10.11,6.10
1932,7.04,4.58,8.47,11.55,16.96,20.83,22.51,25.08,19.91,13.38,8.56,6.85
1933,3.25,6.21,12.22,13.84,17.33,20.65,24.16,24.25,20.79,14.53,6.88,1.20
1934,4.79,5.97,9.10,16.11,18.37,22.04,24.39,22.06,22.05,14.94,8.42,9.89
1935,4.68,7.50,9.81,12.08,16.44,22.24,23.89,23.40,19.38,13.65,9.97,5.53
1936,7.54,5.79,11.35,10.76,18.34,21.74,21.01,22.35,19.08,12.31,7.98,6.45
1937,6.12,8.11,7.57,12.85,19.79,21.44,22.34,23.30,19.09,15.31,7.95,4.77
1938,6.67,6.83,13.15,11.38,16.62,21.61,21.78,23.04,20.47,13.79,11.77,4.07
1939,6.67,7.18,8.48,14.15,16.60,22.20,22.10,23.08,19.55,11.69,10.79,4.28
1940,-1.56,3.80,9.70,13.48,18.79,22.59,21.01,20.69,18.48,13.10,9.98,3.92
1941,0.48,5.17,9.92,11.38,14.91,22.31,24.68,19.84,19.87,13.62,7.47,7.27
1942,-1.23,-0.36,8.72,14.67,17.65,20.71,21.18,23.86,20.46,15.83,8.07,7.59
1943,6.12,8.20,12.09,15.81,19.49,19.93,23.77,22.85,19.35,15.73,7.91,4.72
1944,7.31,4.40,7.47,14.85,17.96,19.14,22.13,25.57,18.10,12.87,8.95,5.77
1945,0.24,9.45,11.96,15.89,20.11,22.40,24.31,21.66,19.76,16.01,7.82,7.04
1946,3.02,7.69,8.81,16.29,18.26,19.27,23.60,21.60,19.98,13.60,9.41,3.29
1947,1.83,0.30,8.54,15.26,21.01,23.51,25.31,26.37,23.23,15.55,10.21,6.83
1948,8.11,6.39,13.09,15.28,19.11,20.79,21.32,21.66,19.56,14.74,9.26,7.22
1949,6.48,8.26,9.23,16.89,16.73,20.72,24.73,23.80,23.45,16.76,8.55,7.92
1950,4.36,9.08,11.42,12.20,18.97,23.89,23.88,23.44,17.56,13.80,8.98,2.55
1951,5.97,6.98,8.17,12.56,16.93,20.30,22.67,21.60,20.27,13.92,11.14,7.25
1952,4.38,4.71,9.81,16.50,19.22,21.42,23.98,22.89,15.71,12.51,6.03,4.58
1953,2.58,5.06,10.90,14.56,19.37,20.19,21.53,22.68,19.85,15.61,9.46,8.40
1954,2.47,3.34,10.69,12.11,18.43,20.15,19.10,20.60,18.23,15.39,10.19,8.40
1955,3.66,3.76,6.47,13.84,15.90,20.29,22.64,23.16,19.67,13.42,9.42,8.00
1956,5.22,0.43,9.97,10.84,18.73,17.12,21.20,19.22,19.89,13.20,7.53,7.65
1957,5.35,8.69,13.25,14.07,15.81,22.85,22.86,20.52,17.34,14.58,8.29,5.68
1958,4.88,7.62,6.63,11.15,17.75,19.80,21.92,22.02,20.81,13.91,7.48,7.68
1959,4.57,5.09,12.06,14.96,19.04,22.33,25.65,23.63,22.14,16.81,8.42,7.39
1960,5.13,6.67,10.35,13.77,19.10,21.89,19.97,20.79,18.21,13.93,10.41,5.37
1961,4.32,10.04,12.38,15.34,16.14,20.96,20.78,21.55,22.36,15.61,7.81,5.83
1962,5.94,5.65,5.82,12.49,14.36,20.11,20.29,21.22,18.40,15.02,6.86,3.31
1963,-2.06,0.31,8.87,13.63,16.24,20.36,22.58,20.14,18.64,13.70,11.66,2.16
1964,2.34,6.85,6.30,13.26,20.08,21.71,23.86,22.34,20.56,12.12,8.85,5.17
1965,4.68,3.75,8.96,11.95,16.85,20.34,19.28,20.85,17.66,14.99,6.59,7.53
1966,2.53,8.84,8.94,13.38,18.23,21.76,20.10,21.01,19.47,15.10,6.66,7.45
1967,5.09,8.13,10.46,12.23,17.65,19.73,24.45,22.05,18.86,15.62,8.10,5.42
1968,4.58,4.67,10.07,14.90,15.56,20.13,21.34,21.02,18.50,15.38,7.38,3.15
1969,6.28,3.26,7.27,12.70,17.93,19.83,23.59,22.15,19.79,16.91,9.47,1.84
1970,3.76,4.89,6.56,9.70,17.56,22.95,20.77,22.60,19.93,14.10,10.69,5.15
1971,4.74,6.39,6.64,14.03,19.49,18.51,24.08,22.44,19.46,15.70,8.13,7.62
1972,3.50,7.40,12.03,11.70,16.02,18.51,22.11,20.85,16.77,13.90,8.50,6.66
1973,4.61,5.51,10.04,10.74,17.45,21.98,22.01,24.55,20.50,13.44,8.69,5.87
1974,8.00,7.84,9.97,14.51,16.70,19.93,20.28,22.38,17.55,9.72,9.23,9.52
1975,8.64,7.59,7.48,11.69,16.16,20.18,23.38,25.30,20.11,12.28,8.23,5.42
1976,6.06,5.76,7.83,13.01,19.40,24.83,25.78,24.09,18.55,14.90,8.89,4.34
1977,4.90,8.15,11.27,10.87,16.53,18.78,21.60,20.70,17.81,15.73,9.24,7.55
1978,4.85,4.00,10.00,11.77,16.32,19.33,20.21,20.32,17.94,14.80,8.46,5.97
1979,0.51,2.92,8.34,11.71,16.84,20.11,21.15,20.40,19.20,15.20,8.67,8.23
1980,2.70,8.49,8.48,12.19,16.90,19.05,19.41,21.89,20.00,13.15,7.02,5.99
1981,4.75,4.51,11.80,12.90,17.81,19.00,20.83,21.89,19.64,12.45,9.42,3.70
1982,3.88,6.38,9.54,12.66,18.24,21.33,23.97,22.11,21.89,13.93,10.40,6.56
1983,7.99,3.60,9.40,12.86,14.50,21.47,26.62,24.11,18.87,14.52,9.26,6.72
1984,5.65,4.99,8.05,12.98,14.09,18.99,21.73,23.14,17.03,14.85,11.19,6.95
1985,-0.18,3.41,7.44,12.87,17.58,18.23,22.89,21.08,19.79,14.55,5.41,8.25
1986,4.89,-0.63,8.24,9.95,18.31,21.82,22.33,21.13,16.74,15.75,10.77,7.74
1987,-0.68,4.77,6.31,15.82,14.66,18.12,21.65,21.15,20.00,15.01,8.37,6.67
1988,8.16,7.00,8.23,14.04,18.92,19.30,20.73,22.50,17.91,14.75,8.65,8.93
1989,6.56,7.81,12.89,10.89,20.99,21.11,23.82,23.28,20.28,16.25,9.03,7.97
1990,6.93,11.37,12.55,13.32,20.53,19.50,23.34,25.29,17.72,16.30,8.87,5.99
1991,5.51,3.32,12.57,13.36,15.25,17.32,24.10,24.83,21.48,13.98,8.32,6.16
1992,4.88,7.79,10.56,13.32,20.91,21.70,23.63,23.48,19.17,11.58,10.52,6.60
1993,8.01,4.18,10.69,15.96,19.39,21.61,21.58,21.73,17.41,12.16,5.14,8.22
1994,7.19,5.67,11.53,12.89,17.23,21.29,27.12,23.16,17.68,14.21,12.41,8.87
1995,6.31,9.52,9.40,13.29,18.62,19.49,26.31,25.43,17.99,17.44,9.55,3.48
1996,3.02,3.65,7.62,15.07,15.24,21.50,22.14,22.63,17.21,14.81,8.17,3.38
1997,1.54,9.22,12.30,13.29,18.18,20.56,22.45,26.43,20.63,14.25,9.48,7.55
1998,6.82,9.67,11.18,12.79,20.02,20.96,21.00,23.27,18.76,13.12,6.43,6.91
1999,7.56,5.96,11.09,14.31,19.58,20.64,24.84,23.17,22.35,14.46,8.61,7.26
2000,6.09,9.08,10.51,14.68,19.60,22.06,19.75,23.64,20.06,14.72,10.34,8.28
2001,5.71,7.83,9.31,12.10,19.96,20.43,23.98,24.35,16.78,17.87,9.29,5.68
2002,6.11,10.10,11.72,14.43,17.92,22.27,22.44,23.24,19.20,14.11,11.01,6.74
2003,4.56,5.60,13.03,15.47,18.78,24.06,24.88,26.10,21.16,12.08,10.85,7.29
2004,5.49,7.53,10.07,15.17,17.42,21.15,22.31,23.83,20.46,15.31,8.86,5.59
2005,6.87,4.54,10.35,14.90,18.21,23.17,23.21,21.62,21.33,17.72,9.08,6.11
2006,3.65,4.72,7.75,13.48,18.70,22.74,27.66,20.49,23.01,17.66,12.28,8.89
2007,9.11,9.48,11.89,18.52,19.33,22.01,21.76,21.95,18.75,14.28,9.21,6.51
2008,8.55,9.61,9.49,13.12,21.15,21.68,23.54,22.48,18.32,14.27,9.37,5.26
2009,2.90,6.05,10.23,17.20,19.41,21.04,23.48,25.08,20.52,14.83,12.18,6.00
2010,1.66,4.96,10.27,15.43,15.52,22.54,25.76,21.74,18.60,14.31,8.55,1.90
2011,5.59,7.59,11.85,18.72,20.67,21.74,20.90,22.54,21.33,16.00,10.81,9.09
2012,7.07,3.73,13.57,12.83,19.46,19.91,22.10,24.73,19.60,14.34,9.51,7.88
2013,4.03,3.88,6.15,13.24,15.54,20.45,25.73,24.08,19.25,16.09,8.85,8.97
2014,8.01,9.57,13.77,16.83,18.05,21.90,24.40,20.96,21.17,17.20,11.03,7.54
2015,6.13,6.34,10.87,15.36,17.77,21.59,24.69,24.74,18.36,13.70,12.53,11.82
2016,7.09,7.88,9.34,13.19,19.12,20.97,23.71,24.12,23.05,13.88,9.01,7.68
2017,3.79,8.62,13.46,13.90,20.40,24.02,23.62,23.07,18.42,16.81,9.69,7.40
2018,8.09,3.66,8.57,17.65,21.93,23.09,27.46,25.26,21.34,17.18,9.99,8.53
2019,5.29,10.02,12.38,16.14,16.86,24.37,25.16,24.94,20.20,15.58,9.15,9.03
2020,8.29,10.44,11.43,17.96,19.58,22.51,23.55,26.44,21.67,14.78,11.77,8.18
2021,5.07,8.19,11.34,12.39,15.78,23.82,22.75,21.64,21.59,15.70,9.28,8.17
