Variable:,tasmin
Country:,Belgium
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-3.62,-5.10,0.18,4.16,6.39,10.12,13.01,11.93,9.94,6.17,0.79,0.20
1902,1.59,-2.87,1.54,4.11,4.38,9.83,10.74,10.58,8.55,4.92,0.80,-2.21
1903,-0.28,1.68,2.77,1.47,7.50,9.20,11.28,11.09,9.72,7.66,2.95,-1.35
1904,-2.24,0.17,0.42,4.75,7.42,9.51,13.13,11.37,7.96,5.67,1.77,1.59
1905,-2.57,0.36,2.61,2.64,6.50,11.32,13.19,11.60,9.41,2.99,1.41,0.12
1906,0.30,-0.87,0.51,2.78,7.88,9.72,11.95,12.34,9.15,7.75,4.56,-1.98
1907,-1.03,-2.39,0.88,3.04,7.28,9.56,10.12,11.30,9.09,7.69,2.81,0.94
1908,-3.93,0.74,0.09,2.09,8.69,11.29,12.06,10.83,8.98,4.98,0.53,-1.02
1909,-2.42,-2.86,-0.12,3.89,5.94,8.70,10.70,11.79,8.97,7.38,0.90,0.62
1910,0.56,1.13,1.00,3.21,7.20,11.44,11.44,11.62,9.28,6.81,0.96,2.62
1911,-1.55,0.28,1.44,2.66,8.43,9.93,13.48,14.55,10.39,6.50,3.04,2.80
1912,-0.61,1.14,4.09,3.44,7.03,10.29,13.01,10.31,6.81,3.99,2.38,2.89
1913,0.40,-0.14,3.33,4.00,7.78,10.21,10.59,10.78,9.48,6.89,5.80,1.37
1914,-3.48,1.92,2.97,5.41,6.90,9.46,12.82,12.68,9.23,6.18,2.28,2.41
1915,0.51,0.13,0.65,2.87,7.64,10.90,11.21,11.33,8.60,4.31,-0.16,2.85
1916,3.33,-0.05,0.79,4.02,7.92,8.16,11.06,12.09,8.93,6.84,2.89,0.51
1917,-2.75,-5.26,-1.27,0.85,9.30,12.55,12.15,12.11,9.97,4.19,4.31,-2.76
1918,-0.29,0.90,0.79,4.51,8.75,8.65,11.77,11.87,9.34,5.71,1.77,3.57
1919,-0.10,-2.23,1.09,2.35,7.66,9.84,9.80,11.51,9.77,3.24,-0.38,0.99
1920,1.56,1.63,3.25,5.47,8.59,10.44,11.55,10.35,9.40,4.39,-0.15,-0.16
1921,3.52,0.17,2.40,3.59,8.12,10.09,13.49,11.92,9.87,8.55,-1.77,0.34
1922,-2.12,-1.77,1.34,2.60,8.22,10.57,11.05,10.75,8.74,2.96,1.54,2.21
1923,1.45,1.18,3.04,3.37,6.67,7.90,13.89,11.42,8.99,7.55,0.96,-1.52
1924,-2.08,-2.42,0.09,3.09,8.73,10.45,12.08,10.64,10.16,7.06,2.20,1.17
1925,1.34,2.22,0.08,3.94,8.89,10.13,13.42,12.40,8.08,6.05,0.62,-1.11
1926,-0.28,3.70,2.50,4.80,6.43,9.50,12.84,11.92,10.62,5.19,3.82,-0.39
1927,1.30,-0.18,3.12,4.04,6.71,9.17,12.74,12.59,10.34,6.16,1.79,-3.18
1928,0.89,1.47,0.99,4.18,5.99,9.28,12.56,11.91,8.62,6.05,4.76,0.03
1929,-4.25,-8.02,0.10,1.28,7.60,9.50,12.54,11.44,11.46,6.80,2.82,2.62
1930,1.98,-1.36,1.01,4.85,7.30,12.49,12.19,11.86,10.27,6.72,4.20,-0.06
1931,0.18,-1.51,-1.44,2.90,8.50,10.80,12.44,11.75,7.45,4.26,3.71,0.04
1932,1.17,-2.45,-0.94,3.34,7.50,10.06,12.87,14.23,11.24,5.92,2.75,0.80
1933,-2.73,-0.54,2.22,3.89,7.47,10.28,13.23,12.72,10.18,6.35,1.33,-4.98
1934,-0.32,-0.60,1.10,4.97,7.26,10.47,12.90,11.84,11.10,7.89,2.61,4.55
1935,0.24,1.00,0.79,4.23,5.75,11.68,12.82,12.13,10.00,5.90,3.93,0.15
1936,2.23,-1.08,2.57,2.43,7.90,11.11,12.35,12.37,10.28,4.87,2.89,0.66
1937,0.42,2.05,0.45,5.05,8.81,10.67,12.39,12.62,9.25,6.91,1.64,-0.69
1938,1.30,-0.38,3.46,2.13,5.95,10.68,11.56,13.12,10.35,6.02,5.74,-1.89
1939,2.05,-0.03,1.04,4.85,6.99,10.70,11.98,12.70,10.34,4.99,4.57,-1.20
1940,-8.05,-3.45,1.36,4.26,7.62,11.18,11.55,10.70,9.04,5.20,3.76,-2.00
1941,-4.75,-1.21,1.33,2.68,4.87,11.28,13.30,11.45,9.29,6.35,1.73,1.40
1942,-7.12,-6.58,-0.06,4.37,7.10,9.77,11.98,12.60,10.35,8.52,2.69,1.39
1943,0.26,0.97,1.86,5.67,7.85,10.12,12.15,12.51,9.21,6.75,1.79,-0.61
1944,2.23,-1.62,-0.24,4.99,6.26,9.79,12.77,13.95,8.98,6.03,3.19,-0.26
